outbreak_id;code;focus_type;country;region;province;livestock_region;municipality;uvl;disease;no_of_affected_species;serotype;species;confirmation_date
2007/3234_1;2007/3234;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Santa Eufemia;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3233_1;2007/3233;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Santa Eufemia;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3232_1;2007/3232;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3231_1;2007/3231;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;19/10/2007
2007/3230_1;2007/3230;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;29/10/2007
2007/3229_1;2007/3229;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pozoblanco;Córdoba;Lengua azul;2;;Bovinos, Ovinos;07/11/2007
2007/3228_1;2007/3228;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3227_1;2007/3227;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3226_1;2007/3226;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;19/10/2007
2007/3225_1;2007/3225;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pozoblanco;Córdoba;Lengua azul;2;;Bovinos, Ovinos;07/11/2007
2007/3224_1;2007/3224;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;05/11/2007
2007/3223_1;2007/3223;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3222_1;2007/3222;Secundario;España;ANDALUCÍA;CÓRDOBA;POSADAS (VEGA DEL GUADALQUIVIR);Posadas;Córdoba;Lengua azul;1;;Ovinos;26/10/2007
2007/3221_1;2007/3221;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Peñarroya-Pueblonuevo;Córdoba;Lengua azul;1;;Ovinos;22/10/2007
2007/3220_1;2007/3220;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Peñarroya-Pueblonuevo;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3219_1;2007/3219;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Peñarroya-Pueblonuevo;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3218_1;2007/3218;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pedroche;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3217_1;2007/3217;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pedroche;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3216_1;2007/3216;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pedroche;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3215_1;2007/3215;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pedroche;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3214_1;2007/3214;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );Pedroche;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3213_1;2007/3213;Secundario;España;ANDALUCÍA;CÓRDOBA;POSADAS (VEGA DEL GUADALQUIVIR);Palma del Río;Córdoba;Lengua azul;1;;Ovinos;26/10/2007
2007/3212_1;2007/3212;Secundario;España;ANDALUCÍA;CÓRDOBA;POSADAS (VEGA DEL GUADALQUIVIR);Palma del Río;Córdoba;Lengua azul;1;;Ovinos;26/10/2007
2007/3211_1;2007/3211;Secundario;España;ANDALUCÍA;CÓRDOBA;POSADAS (VEGA DEL GUADALQUIVIR);Palma del Río;Córdoba;Lengua azul;1;;Ovinos;26/10/2007
2007/3210_1;2007/3210;Secundario;España;ANDALUCÍA;CÓRDOBA;POSADAS (VEGA DEL GUADALQUIVIR);Palma del Río;Córdoba;Lengua azul;1;;Ovinos;26/10/2007
2007/3209_1;2007/3209;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Obejo;Córdoba;Lengua azul;1;;Ovinos;23/10/2007
2007/3208_1;2007/3208;Secundario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);Obejo;Córdoba;Lengua azul;1;;Ovinos;19/10/2007
2007/3207_1;2007/3207;Secundario;España;ANDALUCÍA;CÓRDOBA;MONTORO (ALTO GUADALQUIVIR);Montoro;Córdoba;Lengua azul;1;;Ovinos;22/10/2007
2007/3206_1;2007/3206;Secundario;España;ANDALUCÍA;CÓRDOBA;MONTORO (ALTO GUADALQUIVIR);Montoro;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3205_1;2007/3205;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3204_1;2007/3204;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3203_1;2007/3203;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3202_1;2007/3202;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3201_1;2007/3201;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3200_1;2007/3200;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3199_1;2007/3199;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3198_1;2007/3198;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3197_1;2007/3197;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3196_1;2007/3196;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3195_1;2007/3195;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3194_1;2007/3194;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;23/10/2007
2007/3193_1;2007/3193;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;29/10/2007
2007/3192_1;2007/3192;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3191_1;2007/3191;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;22/10/2007
