"","code","focus_type","country","region","province","livestock_region","international_region","municipality","uvl","disease","n_affected_species","serotype","species","susceptible","affected","confirmation_date","outbreak_n","index","outbreak_id"
"11244","2007/3063","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Serradilla","Badajoz","Bluetongue",1,"","Ovinos","156","3",2007-11-26,1,11244,"2007/3063_1"
"11245","2007/3062","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Santa Cruz de Paniagua","Badajoz","Bluetongue",1,"","Ovinos","33","1",2007-11-26,1,11245,"2007/3062_1"
"11246","2007/3061","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Santa Cruz de Paniagua","Badajoz","Bluetongue",1,"","Ovinos","1202","20",2007-11-26,1,11246,"2007/3061_1"
"11247","2007/3060","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Plasencia","Badajoz","Bluetongue",1,"","Ovinos","117","1",2007-11-26,1,11247,"2007/3060_1"
"11248","2007/3059","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Mirabel","Badajoz","Bluetongue",1,"","Ovinos","190","1",2007-11-26,1,11248,"2007/3059_1"
"11249","2007/3058","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Mirabel","Badajoz","Bluetongue",1,"","Ovinos","20","1",2007-11-26,1,11249,"2007/3058_1"
"11250","2007/3057","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Mirabel","Badajoz","Bluetongue",1,"","Ovinos","95","2",2007-11-26,1,11250,"2007/3057_1"
"11251","2007/3056","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Mirabel","Badajoz","Bluetongue",1,"","Ovinos","188","1",2007-11-26,1,11251,"2007/3056_1"
"11252","2007/3055","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Mirabel","Badajoz","Bluetongue",1,"","Ovinos","115","4",2007-11-26,1,11252,"2007/3055_1"
"11253","2007/3054","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Mirabel","Badajoz","Bluetongue",1,"","Ovinos","5000","6",2007-11-26,1,11253,"2007/3054_1"
"11254","2007/3053","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Malpartida de Plasencia","Badajoz","Bluetongue",1,"","Ovinos","22","2",2007-11-26,1,11254,"2007/3053_1"
"11255","2007/3052","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Malpartida de Plasencia","Badajoz","Bluetongue",1,"","Ovinos","240","10",2007-11-26,1,11255,"2007/3052_1"
"11256","2007/3051","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Galisteo","Badajoz","Bluetongue",1,"","Ovinos","18","1",2007-11-26,1,11256,"2007/3051_1"
"11257","2007/3050","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Galisteo","Badajoz","Bluetongue",1,"","Ovinos","124","6",2007-11-26,1,11257,"2007/3050_1"
"11258","2007/3049","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Galisteo","Badajoz","Bluetongue",1,"","Ovinos","52","1",2007-11-26,1,11258,"2007/3049_1"
"11259","2007/3048","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Galisteo","Badajoz","Bluetongue",1,"","Ovinos","257","2",2007-11-26,1,11259,"2007/3048_1"
"11260","2007/3047","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Galisteo","Badajoz","Bluetongue",1,"","Ovinos","338","2",2007-11-26,1,11260,"2007/3047_1"
"11261","2007/3046","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Casas de Millán","Badajoz","Bluetongue",1,"","Ovinos","50","4",2007-11-26,1,11261,"2007/3046_1"
"11262","2007/3045","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Casas de Millán","Badajoz","Bluetongue",1,"","Ovinos","1775","5",2007-11-26,1,11262,"2007/3045_1"
"11263","2007/3044","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Casas de Millán","Badajoz","Bluetongue",1,"","Ovinos","460","4",2007-11-26,1,11263,"2007/3044_1"
"11264","2007/3043","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Casas de Millán","Badajoz","Bluetongue",1,"","Ovinos","660","2",2007-11-26,1,11264,"2007/3043_1"
"11265","2007/3042","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Casas de Millán","Badajoz","Bluetongue",1,"","Ovinos","376","3",2007-11-26,1,11265,"2007/3042_1"
"11266","2007/3041","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Casas de Millán","Badajoz","Bluetongue",1,"","Ovinos","524","12",2007-11-26,1,11266,"2007/3041_1"
"11267","2007/3040","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Casas de Millán","Badajoz","Bluetongue",1,"","Ovinos","535","10",2007-11-26,1,11267,"2007/3040_1"
"11268","2007/3039","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Casas de Millán","Badajoz","Bluetongue",1,"","Ovinos","950","10",2007-11-26,1,11268,"2007/3039_1"
"11269","2007/3038","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Casas de Millán","Badajoz","Bluetongue",1,"","Ovinos","751","7",2007-11-26,1,11269,"2007/3038_1"
"11270","2007/3037","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Cañaveral","Badajoz","Bluetongue",1,"","Ovinos","52","2",2007-11-26,1,11270,"2007/3037_1"
"11271","2007/3036","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Aldehuela de Jerte","Badajoz","Bluetongue",1,"","Ovinos","152","10",2007-11-26,1,11271,"2007/3036_1"
"11272","2007/3035","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Aldehuela de Jerte","Badajoz","Bluetongue",1,"","Ovinos","1000","10",2007-11-26,1,11272,"2007/3035_1"
"11273","2007/3034","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Aldehuela de Jerte","Badajoz","Bluetongue",1,"","Ovinos","291","4",2007-11-26,1,11273,"2007/3034_1"
